[AUDIT] ⚠️  Value 1.570796 out of range, clamping
[AUDIT] ⚠️  Value 1.122339 out of range, clamping
[AUDIT] ⚠️  Value 1.121216 out of range, clamping
[AUDIT] ⚠️  Value 1.120095 out of range, clamping
[AUDIT] ⚠️  Value 1.118975 out of range, clamping
[AUDIT] ⚠️  Value 1.117856 out of range, clamping
[AUDIT] ⚠️  Value 1.116738 out of range, clamping
[AUDIT] ⚠️  Value 1.115621 out of range, clamping
[AUDIT] ⚠️  Value 1.114506 out of range, clamping
[AUDIT] ⚠️  Value 1.113391 out of range, clamping
[AUDIT] ⚠️  Value 1.112278 out of range, clamping
[AUDIT] ⚠️  Value 1.111166 out of range, clamping
[AUDIT] ⚠️  Value 1.110054 out of range, clamping
[AUDIT] ⚠️  Value 1.108944 out of range, clamping
[AUDIT] ⚠️  Value 1.107835 out of range, clamping
[AUDIT] ⚠️  Value 1.106728 out of range, clamping
[AUDIT] ⚠️  Value 1.105621 out of range, clamping
[AUDIT] ⚠️  Value 1.104515 out of range, clamping
[AUDIT] ⚠️  Value 1.103411 out of range, clamping
[AUDIT] ⚠️  Value 1.102307 out of range, clamping
[AUDIT] ⚠️  Value 1.101205 out of range, clamping
[AUDIT] ⚠️  Value 1.100104 out of range, clamping
[AUDIT] ⚠️  Value 1.099004 out of range, clamping
[AUDIT] ⚠️  Value 1.097905 out of range, clamping
[AUDIT] ⚠️  Value 1.096807 out of range, clamping
[AUDIT] ⚠️  Value 1.095710 out of range, clamping
[AUDIT] ⚠️  Value 1.094614 out of range, clamping
[AUDIT] ⚠️  Value 1.093520 out of range, clamping
[AUDIT] ⚠️  Value 1.092426 out of range, clamping
[AUDIT] ⚠️  Value 1.091334 out of range, clamping
[AUDIT] ⚠️  Value 1.090242 out of range, clamping
[AUDIT] ⚠️  Value 1.089152 out of range, clamping
[AUDIT] ⚠️  Value 1.088063 out of range, clamping
[AUDIT] ⚠️  Value 1.086975 out of range, clamping
[AUDIT] ⚠️  Value 1.085888 out of range, clamping
[AUDIT] ⚠️  Value 1.084802 out of range, clamping
[AUDIT] ⚠️  Value 1.083717 out of range, clamping
[AUDIT] ⚠️  Value 1.082634 out of range, clamping
[AUDIT] ⚠️  Value 1.081551 out of range, clamping
[AUDIT] ⚠️  Value 1.080469 out of range, clamping
[AUDIT] ⚠️  Value 1.079389 out of range, clamping
[AUDIT] ⚠️  Value 1.078310 out of range, clamping
[AUDIT] ⚠️  Value 1.077231 out of range, clamping
[AUDIT] ⚠️  Value 1.076154 out of range, clamping
[AUDIT] ⚠️  Value 1.075078 out of range, clamping
[AUDIT] ⚠️  Value 1.074003 out of range, clamping
[AUDIT] ⚠️  Value 1.072929 out of range, clamping
[AUDIT] ⚠️  Value 1.071856 out of range, clamping
[AUDIT] ⚠️  Value 1.070784 out of range, clamping
[AUDIT] ⚠️  Value 1.069713 out of range, clamping
[AUDIT] ⚠️  Value 1.068643 out of range, clamping
[AUDIT] ⚠️  Value 1.067575 out of range, clamping
[AUDIT] ⚠️  Value 1.066507 out of range, clamping
[AUDIT] ⚠️  Value 1.065441 out of range, clamping
[AUDIT] ⚠️  Value 1.064375 out of range, clamping
[AUDIT] ⚠️  Value 1.063311 out of range, clamping
[AUDIT] ⚠️  Value 1.062248 out of range, clamping
[AUDIT] ⚠️  Value 1.061185 out of range, clamping
[AUDIT] ⚠️  Value 1.060124 out of range, clamping
[AUDIT] ⚠️  Value 1.059064 out of range, clamping
[AUDIT] ⚠️  Value 1.058005 out of range, clamping
[AUDIT] ⚠️  Value 1.056947 out of range, clamping
[AUDIT] ⚠️  Value 1.055890 out of range, clamping
[AUDIT] ⚠️  Value 1.054834 out of range, clamping
[AUDIT] ⚠️  Value 1.053779 out of range, clamping
[AUDIT] ⚠️  Value 1.052726 out of range, clamping
[AUDIT] ⚠️  Value 1.051673 out of range, clamping
[AUDIT] ⚠️  Value 1.050621 out of range, clamping
[AUDIT] ⚠️  Value 1.049571 out of range, clamping
[AUDIT] ⚠️  Value 1.048521 out of range, clamping
[AUDIT] ⚠️  Value 1.047472 out of range, clamping
[AUDIT] ⚠️  Value 1.046425 out of range, clamping
[AUDIT] ⚠️  Value 1.045379 out of range, clamping
[AUDIT] ⚠️  Value 1.044333 out of range, clamping
[AUDIT] ⚠️  Value 1.043289 out of range, clamping
[AUDIT] ⚠️  Value 1.042246 out of range, clamping
[AUDIT] ⚠️  Value 1.041203 out of range, clamping
[AUDIT] ⚠️  Value 1.040162 out of range, clamping
[AUDIT] ⚠️  Value 1.039122 out of range, clamping
[AUDIT] ⚠️  Value 1.038083 out of range, clamping
[AUDIT] ⚠️  Value 1.037045 out of range, clamping
[AUDIT] ⚠️  Value 1.036008 out of range, clamping
[AUDIT] ⚠️  Value 1.034972 out of range, clamping
[AUDIT] ⚠️  Value 1.033937 out of range, clamping
[AUDIT] ⚠️  Value 1.032903 out of range, clamping
[AUDIT] ⚠️  Value 1.031870 out of range, clamping
[AUDIT] ⚠️  Value 1.030838 out of range, clamping
[AUDIT] ⚠️  Value 1.029807 out of range, clamping
[AUDIT] ⚠️  Value 1.028777 out of range, clamping
[AUDIT] ⚠️  Value 1.027749 out of range, clamping
[AUDIT] ⚠️  Value 1.026721 out of range, clamping
[AUDIT] ⚠️  Value 1.025694 out of range, clamping
[AUDIT] ⚠️  Value 1.024668 out of range, clamping
[AUDIT] ⚠️  Value 1.023644 out of range, clamping
[AUDIT] ⚠️  Value 1.022620 out of range, clamping
[AUDIT] ⚠️  Value 1.021597 out of range, clamping
[AUDIT] ⚠️  Value 1.020576 out of range, clamping
[AUDIT] ⚠️  Value 1.019555 out of range, clamping
[AUDIT] ⚠️  Value 1.018536 out of range, clamping
[AUDIT] ⚠️  Value 1.017517 out of range, clamping
[AUDIT] ⚠️  Value 1.016500 out of range, clamping
[AUDIT] ⚠️  Value 1.015483 out of range, clamping
[AUDIT] ⚠️  Value 1.014468 out of range, clamping
[AUDIT] ⚠️  Value 1.013453 out of range, clamping
[AUDIT] ⚠️  Value 1.012440 out of range, clamping
[AUDIT] ⚠️  Value 1.011427 out of range, clamping
[AUDIT] ⚠️  Value 1.010416 out of range, clamping
[AUDIT] ⚠️  Value 1.009406 out of range, clamping
[AUDIT] ⚠️  Value 1.008396 out of range, clamping
[AUDIT] ⚠️  Value 1.007388 out of range, clamping
[AUDIT] ⚠️  Value 1.006380 out of range, clamping
[AUDIT] ⚠️  Value 1.005374 out of range, clamping
[AUDIT] ⚠️  Value 1.004369 out of range, clamping
[AUDIT] ⚠️  Value 1.003364 out of range, clamping
[AUDIT] ⚠️  Value 1.002361 out of range, clamping
[AUDIT] ⚠️  Value 1.001358 out of range, clamping
[AUDIT] ⚠️  Value 1.000357 out of range, clamping
tick,avg_coherence,phase_drift
1,0.000636,1.000000
2,0.000637,1.000000
3,0.000637,1.000000
4,0.000638,1.000000
5,0.000639,1.000000
6,0.000639,1.000000
7,0.000640,1.000000
8,0.000641,1.000000
9,0.000641,1.000000
10,0.000642,1.000000
11,0.000643,1.000000
12,0.000643,1.000000
13,0.000644,1.000000
14,0.000645,1.000000
15,0.000645,1.000000
16,0.000646,1.000000
17,0.000646,1.000000
18,0.000647,1.000000
19,0.000648,1.000000
20,0.000648,1.000000
21,0.000649,1.000000
22,0.000650,1.000000
23,0.000650,1.000000
24,0.000651,1.000000
25,0.000652,1.000000
26,0.000652,1.000000
27,0.000653,1.000000
28,0.000654,1.000000
29,0.000654,1.000000
30,0.000655,1.000000
31,0.000656,1.000000
32,0.000656,1.000000
33,0.000657,1.000000
34,0.000658,1.000000
35,0.000658,1.000000
36,0.000659,1.000000
37,0.000660,1.000000
38,0.000660,1.000000
39,0.000661,1.000000
40,0.000662,1.000000
41,0.000662,1.000000
42,0.000663,1.000000
43,0.000664,1.000000
44,0.000664,1.000000
45,0.000665,1.000000
46,0.000665,1.000000
47,0.000666,1.000000
48,0.000667,1.000000
49,0.000667,1.000000
50,0.000668,1.000000
51,0.000669,1.000000
52,0.000669,1.000000
53,0.000670,1.000000
54,0.000671,1.000000
55,0.000672,1.000000
56,0.000672,1.000000
57,0.000673,1.000000
58,0.000674,1.000000
59,0.000674,1.000000
60,0.000675,1.000000
61,0.000676,1.000000
62,0.000676,1.000000
63,0.000677,1.000000
64,0.000678,1.000000
65,0.000678,1.000000
66,0.000679,1.000000
67,0.000680,1.000000
68,0.000680,1.000000
69,0.000681,1.000000
70,0.000682,1.000000
71,0.000682,1.000000
72,0.000683,1.000000
73,0.000684,1.000000
74,0.000684,1.000000
75,0.000685,1.000000
76,0.000686,1.000000
77,0.000686,1.000000
78,0.000687,1.000000
79,0.000688,1.000000
80,0.000689,1.000000
81,0.000689,1.000000
82,0.000690,1.000000
83,0.000691,1.000000
84,0.000691,1.000000
85,0.000692,1.000000
86,0.000693,1.000000
87,0.000693,1.000000
88,0.000694,1.000000
89,0.000695,1.000000
90,0.000695,1.000000
91,0.000696,1.000000
92,0.000697,1.000000
93,0.000698,1.000000
94,0.000698,1.000000
95,0.000699,1.000000
96,0.000700,1.000000
97,0.000700,1.000000
98,0.000701,1.000000
99,0.000702,1.000000
100,0.000702,1.000000
101,0.000703,1.000000
102,0.000704,1.000000
103,0.000705,1.000000
104,0.000705,1.000000
105,0.000706,1.000000
106,0.000707,1.000000
107,0.000707,1.000000
108,0.000708,1.000000
109,0.000709,1.000000
110,0.000709,1.000000
111,0.000710,1.000000
112,0.000711,1.000000
113,0.000712,1.000000
114,0.000712,1.000000
115,0.000713,1.000000
116,0.000714,1.000000
117,0.000714,1.000000
118,0.000715,1.000000
119,0.000716,1.000000
120,0.000717,1.000000
121,0.000717,1.000000
122,0.000718,1.000000
123,0.000719,1.000000
124,0.000719,1.000000
125,0.000720,1.000000
126,0.000721,1.000000
127,0.000722,1.000000
128,0.000722,1.000000
129,0.000723,1.000000
130,0.000724,1.000000
131,0.000725,1.000000
132,0.000725,1.000000
133,0.000726,1.000000
134,0.000727,1.000000
135,0.000727,1.000000
136,0.000728,1.000000
137,0.000729,1.000000
138,0.000730,1.000000
139,0.000730,1.000000
140,0.000731,1.000000
141,0.000732,1.000000
142,0.000733,1.000000
143,0.000733,1.000000
144,0.000734,1.000000
145,0.000735,1.000000
146,0.000735,1.000000
147,0.000736,1.000000
148,0.000737,1.000000
149,0.000738,1.000000
150,0.000738,1.000000
151,0.000739,1.000000
152,0.000740,1.000000
153,0.000741,1.000000
154,0.000741,1.000000
155,0.000742,1.000000
156,0.000743,1.000000
157,0.000744,1.000000
158,0.000744,1.000000
159,0.000745,1.000000
160,0.000746,1.000000
161,0.000747,1.000000
162,0.000747,1.000000
163,0.000748,1.000000
164,0.000749,1.000000
165,0.000750,1.000000
166,0.000750,1.000000
167,0.000751,1.000000
168,0.000752,1.000000
169,0.000753,1.000000
170,0.000753,1.000000
171,0.000754,1.000000
172,0.000755,1.000000
173,0.000756,1.000000
174,0.000756,1.000000
175,0.000757,1.000000
176,0.000758,1.000000
177,0.000759,1.000000
178,0.000759,1.000000
179,0.000760,1.000000
180,0.000761,1.000000
181,0.000762,1.000000
182,0.000762,1.000000
183,0.000763,1.000000
184,0.000764,1.000000
185,0.000765,1.000000
186,0.000765,1.000000
187,0.000766,1.000000
188,0.000767,1.000000
189,0.000768,1.000000
190,0.000769,1.000000
191,0.000769,1.000000
192,0.000770,1.000000
193,0.000771,1.000000
194,0.000772,1.000000
195,0.000772,1.000000
196,0.000773,1.000000
197,0.000774,1.000000
198,0.000775,1.000000
199,0.000775,1.000000
200,0.000776,1.000000
201,0.000777,1.000000
202,0.000778,1.000000
203,0.000779,1.000000
204,0.000779,1.000000
205,0.000780,1.000000
206,0.000781,1.000000
207,0.000782,1.000000
208,0.000782,1.000000
209,0.000783,1.000000
210,0.000784,1.000000
211,0.000785,1.000000
212,0.000786,1.000000
213,0.000786,1.000000
214,0.000787,1.000000
215,0.000788,1.000000
216,0.000789,1.000000
217,0.000790,1.000000
218,0.000790,1.000000
219,0.000791,1.000000
220,0.000792,1.000000
221,0.000793,1.000000
222,0.000794,1.000000
223,0.000794,1.000000
224,0.000795,1.000000
225,0.000796,1.000000
226,0.000797,1.000000
227,0.000798,1.000000
228,0.000798,1.000000
229,0.000799,1.000000
230,0.000800,1.000000
231,0.000801,1.000000
232,0.000802,1.000000
233,0.000802,1.000000
234,0.000803,1.000000
235,0.000804,1.000000
236,0.000805,1.000000
237,0.000806,1.000000
238,0.000806,1.000000
239,0.000807,1.000000
240,0.000808,1.000000
241,0.000809,1.000000
242,0.000810,1.000000
243,0.000810,1.000000
244,0.000811,1.000000
245,0.000812,1.000000
246,0.000813,1.000000
247,0.000814,1.000000
248,0.000814,1.000000
249,0.000815,1.000000
250,0.000816,1.000000
251,0.000817,1.000000
252,0.000818,1.000000
253,0.000819,1.000000
254,0.000819,1.000000
255,0.000820,1.000000
256,0.000821,1.000000
257,0.000822,1.000000
258,0.000823,1.000000
259,0.000823,1.000000
260,0.000824,1.000000
261,0.000825,1.000000
262,0.000826,1.000000
263,0.000827,1.000000
264,0.000828,1.000000
265,0.000828,1.000000
266,0.000829,1.000000
267,0.000830,1.000000
268,0.000831,1.000000
269,0.000832,1.000000
270,0.000833,1.000000
271,0.000833,1.000000
272,0.000834,1.000000
273,0.000835,1.000000
274,0.000836,1.000000
275,0.000837,1.000000
276,0.000838,1.000000
277,0.000838,1.000000
278,0.000839,1.000000
279,0.000840,1.000000
280,0.000841,1.000000
281,0.000842,1.000000
282,0.000843,1.000000
283,0.000843,1.000000
284,0.000844,1.000000
285,0.000845,1.000000
286,0.000846,1.000000
287,0.000847,1.000000
288,0.000848,1.000000
289,0.000848,1.000000
290,0.000849,1.000000
291,0.000850,1.000000
292,0.000851,1.000000
293,0.000852,1.000000
294,0.000853,1.000000
295,0.000854,1.000000
296,0.000854,1.000000
297,0.000855,1.000000
298,0.000856,1.000000
299,0.000857,1.000000
300,0.000858,1.000000
301,0.000859,1.000000
302,0.000860,1.000000
303,0.000860,1.000000
304,0.000861,1.000000
305,0.000862,1.000000
306,0.000863,1.000000
307,0.000864,1.000000
308,0.000865,1.000000
309,0.000866,1.000000
310,0.000866,1.000000
311,0.000867,1.000000
312,0.000868,1.000000
313,0.000869,1.000000
314,0.000870,1.000000
315,0.000871,1.000000
316,0.000872,1.000000
317,0.000873,1.000000
318,0.000873,1.000000
319,0.000874,1.000000
320,0.000875,1.000000
321,0.000876,1.000000
322,0.000877,1.000000
323,0.000878,1.000000
324,0.000879,1.000000
325,0.000880,1.000000
326,0.000880,1.000000
327,0.000881,1.000000
328,0.000882,1.000000
329,0.000883,1.000000
330,0.000884,1.000000
331,0.000885,1.000000
332,0.000886,1.000000
333,0.000887,1.000000
334,0.000888,1.000000
335,0.000888,1.000000
336,0.000889,1.000000
337,0.000890,1.000000
338,0.000891,1.000000
339,0.000892,1.000000
340,0.000893,1.000000
341,0.000894,1.000000
342,0.000895,1.000000
343,0.000896,1.000000
344,0.000896,1.000000
345,0.000897,1.000000
346,0.000898,1.000000
347,0.000899,1.000000
348,0.000900,1.000000
349,0.000901,1.000000
350,0.000902,1.000000
351,0.000903,1.000000
352,0.000904,1.000000
353,0.000905,1.000000
354,0.000905,1.000000
355,0.000906,1.000000
356,0.000907,1.000000
357,0.000908,1.000000
358,0.000909,1.000000
359,0.000910,1.000000
360,0.000911,1.000000
361,0.000912,1.000000
362,0.000913,1.000000
363,0.000914,1.000000
364,0.000915,1.000000
365,0.000915,1.000000
366,0.000916,1.000000
367,0.000917,1.000000
368,0.000918,1.000000
369,0.000919,1.000000
370,0.000920,1.000000
371,0.000921,1.000000
372,0.000922,1.000000
373,0.000923,1.000000
374,0.000924,1.000000
375,0.000925,1.000000
376,0.000926,1.000000[PHASE13] Completed: nodes=16 ticks=500 k=0.001000
[AGI] Final coherence≈0.001048

377,0.000927,1.000000
378,0.000927,1.000000
379,0.000928,1.000000
380,0.000929,1.000000
381,0.000930,1.000000
382,0.000931,1.000000
383,0.000932,1.000000
384,0.000933,1.000000
385,0.000934,1.000000
386,0.000935,1.000000
387,0.000936,1.000000
388,0.000937,1.000000
389,0.000938,1.000000
390,0.000939,1.000000
391,0.000940,1.000000
392,0.000941,1.000000
393,0.000941,1.000000
394,0.000942,1.000000
395,0.000943,1.000000
396,0.000944,1.000000
397,0.000945,1.000000
398,0.000946,1.000000
399,0.000947,1.000000
400,0.000948,1.000000
401,0.000949,1.000000
402,0.000950,1.000000
403,0.000951,1.000000
404,0.000952,1.000000
405,0.000953,1.000000
406,0.000954,1.000000
407,0.000955,1.000000
408,0.000956,1.000000
409,0.000957,1.000000
410,0.000958,1.000000
411,0.000959,1.000000
412,0.000960,1.000000
413,0.000960,1.000000
414,0.000961,1.000000
415,0.000962,1.000000
416,0.000963,1.000000
417,0.000964,1.000000
418,0.000965,1.000000
419,0.000966,1.000000
420,0.000967,1.000000
421,0.000968,1.000000
422,0.000969,1.000000
423,0.000970,1.000000
424,0.000971,1.000000
425,0.000972,1.000000
426,0.000973,1.000000
427,0.000974,1.000000
428,0.000975,1.000000
429,0.000976,1.000000
430,0.000977,1.000000
431,0.000978,1.000000
432,0.000979,1.000000
433,0.000980,1.000000
434,0.000981,1.000000
435,0.000982,1.000000
436,0.000983,1.000000
437,0.000984,1.000000
438,0.000985,1.000000
439,0.000986,1.000000
440,0.000987,1.000000
441,0.000988,1.000000
442,0.000989,1.000000
443,0.000990,1.000000
444,0.000991,1.000000
445,0.000992,1.000000
446,0.000993,1.000000
447,0.000994,1.000000
448,0.000995,1.000000
449,0.000996,1.000000
450,0.000997,1.000000
451,0.000998,1.000000
452,0.000999,1.000000
453,0.001000,0.999357
454,0.001001,0.998357
455,0.001002,0.997359
456,0.001003,0.996362
457,0.001004,0.995365
458,0.001005,0.994370
459,0.001006,0.993376
460,0.001007,0.992382
461,0.001008,0.991390
462,0.001009,0.990398
463,0.001010,0.989408
464,0.001011,0.988419
465,0.001012,0.987430
466,0.001013,0.986443
467,0.001014,0.985456
468,0.001015,0.984471
469,0.001016,0.983486
470,0.001017,0.982503
471,0.001018,0.981520
472,0.001019,0.980539
473,0.001020,0.979558
474,0.001021,0.978579
475,0.001022,0.977600
476,0.001023,0.976623
477,0.001024,0.975646
478,0.001025,0.974670
479,0.001026,0.973696
480,0.001027,0.972722
481,0.001028,0.971749
482,0.001029,0.970778
483,0.001030,0.969807
484,0.001031,0.968837
485,0.001032,0.967868
486,0.001033,0.966900
487,0.001034,0.965933
488,0.001035,0.964967
489,0.001036,0.964002
490,0.001037,0.963038
491,0.001038,0.962075
492,0.001039,0.961113
493,0.001040,0.960152
494,0.001041,0.959192
495,0.001042,0.958233
496,0.001044,0.957275
497,0.001045,0.956317
498,0.001046,0.955361
499,0.001047,0.954406
500,0.001048,0.953451
